City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
579,Resistencia,AR,61.11,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
586,Huarmey,PE,62.53,scattered clouds,-10.0681,-78.1522,Hospedaje Aristides Inn
602,Souillac,MU,64.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
607,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
610,Matagami,CA,57.31,clear sky,49.7502,-77.6328,Motel Le Caribou
614,Souillac,MU,64.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
616,Esperance,AU,54.88,broken clouds,-33.8667,121.9,The Jetty Resort
618,Nome,US,51.87,overcast clouds,64.5011,-165.4064,Aurora Inn & Suites
624,Bermejo,AR,53.51,clear sky,-32.8833,-68.8,ibis Mendoza
630,Mutum,BR,64.6,overcast clouds,-19.8,-41.4383,STELA HOTEL
631,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
633,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
641,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,The Halyards Hotel
642,Mangaratiba,BR,63.46,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
646,Kiama,AU,62.26,overcast clouds,-34.6833,150.8667,The Grand Hotel
652,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
656,Arraial do Cabo,BR,67.86,clear sky,-22.9661,-42.0278,Orlanova Boutique Hotel
659,Władysławowo,PL,58.01,clear sky,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
663,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
666,Arraial do Cabo,BR,67.86,clear sky,-22.9661,-42.0278,Orlanova Boutique Hotel
679,Bredasdorp,ZA,53.1,light rain,-34.5322,20.0403,Victoria Hotel - Bredasdorp
681,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,Hotel Bagu Playa Grande
686,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,Kingsworth Inn
688,Saint Paul Harbor,US,58.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
689,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
692,Kruisfontein,ZA,53.89,overcast clouds,-34.0033,24.7314,40b Overnight Accommodation
702,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
710,Kruisfontein,ZA,53.89,overcast clouds,-34.0033,24.7314,40b Overnight Accommodation
711,Gravdal,NO,50.54,overcast clouds,68.1214,13.5031,Scandic Leknes Lofoten Hotel
715,Sungai Penuh,ID,69.76,scattered clouds,-2.0833,101.3833,PENGINAPAN DZAKY SUNGAI PENUH (Penginapan Syari'ah)
720,Rawson,AR,50.29,few clouds,-43.3002,-65.1023,Complejo Bahia Ballenas
727,Tuktoyaktuk,CA,53.6,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
739,Itapetinga,BR,67.82,clear sky,-15.2489,-40.2478,Morumbi Hotel
745,Salto,UY,50.88,broken clouds,-31.3833,-57.9667,Hotel Español Salto
749,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
753,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
756,Tuktoyaktuk,CA,53.6,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
757,Bredasdorp,ZA,53.1,light rain,-34.5322,20.0403,Victoria Hotel - Bredasdorp
761,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
762,Asău,RO,60.28,clear sky,46.4333,26.4,Pensiune la Miruna
764,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
